timestamp TimeMS SV SP SH SMX SMY SMZ SVT OFN EFE FS DS
206.975 206975 31 7 20 9 4 3 0 0 0 0 0
206.995 206995 31 7 3 3 4 3 0 0 0 0 0
207.016 207016 31 7 3 3 3 3 0 0 0 0 0
207.035 207035 31 7 3 3 3 2 0 0 0 0 0
207.055 207055 43 10 3 3 3 2 0 0 0 0 0
207.076 207076 43 10 3 3 3 2 0 0 0 0 0
207.096 207096 43 10 16 9 3 2 0 0 0 0 0
207.116 207116 43 10 16 9 12 2 0 0 0 0 0
207.136 207136 43 10 16 9 12 6 0 0 0 0 0
207.156 207156 43 10 16 9 12 6 0 0 0 0 0
207.176 207176 43 10 16 9 12 6 0 0 0 0 0
207.196 207196 43 10 0 7 12 6 0 0 0 0 0
207.216 207216 43 10 0 7 15 6 0 0 0 0 0
207.236 207236 43 10 0 7 15 0 0 0 0 0 0
